# REPORT 인수인계 (HANDOFF)

_갱신: 2026-09-13T09:13:22 · 리포트 85건 · 종목 311 · 섹터 12_

> 다운스트림은 매번 재검색하지 말고 이 표를 읽어라. 각 항목은 '어느 리포트가 무슨 평결로 이 종목/섹터를 다뤘나'의 인수인계다. 원문은 REPORT/ 해당 경로.

## 종목별

| 종목 | 리포트 수 | 평결 | 최근 리포트 |
| KKR (KKR & Co.) | 4 | CONFIRMED FADING FRESH GO LIVE | `industry_US/2026-08-14/SWEEP_READ.md` |
| AAPL (Apple Inc.) | 4 | CONFIRMED FRESH GO LIVE PARTIAL | `preflight/industry_US/PREFLIGHT.md` |
| CSCO (Cisco) | 4 | CONFIRMED FRESH GO LIVE REAL | `industry_US/2026-08-14/SWEEP_READ.md` |
| 012630 HDC | 3 | CONFIRMED ECHO FADING FRESH LIVE | `industry_KR/preflight/PREFLIGHT.md` |
| 005830 DB손해보험 | 3 | CONFIRMED ECHO FRESH LIVE PARTIAL | `industry_KR/SECTOR_DEEP_INS.md` |
| 086790 하나금융지주 | 3 | CONFIRMED ECHO FRESH GO LIVE | `preflight/industry_KR/PREFLIGHT.md` |
| 105560 KB금융 | 3 | FRESH GO LIVE WAIT 🔴 | `preflight/industry_KR/PREFLIGHT.md` |
| 000370 한화손해보험 | 3 | CONFIRMED ECHO FRESH LIVE PARTIAL | `industry_KR/SECTOR_DEEP_INS.md` |
| 001450 현대해상 | 3 | CONFIRMED ECHO FRESH LIVE PARTIAL | `industry_KR/SECTOR_DEEP_INS.md` |
| SYK (Stryker Corporation) | 3 | FADING GO LIVE REAL 🔴 | `industry_US/BLINDSPOT_PREMORTEM.md` |
| ORCL (Oracle Corporation) | 3 | FRESH GO LIVE REAL 🔴 | `industry_US/MACRO_REPORT.md` |
| TRV (Travelers Companies (The)) | 3 | CONFIRMED FADING FRESH GO REAL | `industry_US/EVENT_ALPHA.md` |
| DE (Deere & Company) | 3 | FRESH GO 🔴 🟢 | `industry_US/SECTOR_DEEP_INDU.md` |
| HWM (Howmet Aerospace) | 3 | FRESH GO 🔴 🟢 | `industry_US/SECTOR_DEEP_INDU.md` |
| AMAT (Applied Materials) | 3 | FRESH GO LIVE REAL 🔴 | `industry_US/2026-08-13/SECTOR_ROTATION.md` |
| LRCX (Lam Research) | 3 | FRESH GO LIVE REAL 🔴 | `industry_US/2026-08-13/SECTOR_ROTATION.md` |
| KLAC (KLA Corporation) | 3 | FRESH GO LIVE REAL 🔴 | `industry_US/2026-08-13/SECTOR_ROTATION.md` |
| CEG (Constellation Energy) | 3 | CONFIRMED FADING FRESH GO LIVE | `industry_US/SECTOR_DEEP_UTIL.md` |
| 010130 고려아연 | 3 | FADING GO REAL 🔴 🟡 | `industry_KR/MACRO_REPORT.md` |
| 079550 LIG디펜스앤에어로스페이스 | 3 | GO REAL RESOLVED WAIT 🔴 | `industry_KR/HANDOVER.md` |
| CIEN (Ciena) | 3 | CONFIRMED FADING GO LIVE 🔴 | `industry_US/EVENT_ALPHA.md` |
| FANG (Diamondback Energy) | 3 | CONFIRMED GO REAL 🔴 🟡 | `industry_US/HANDOVER.md` |
| 001060 JW중외제약 | 3 | GO REAL RESOLVED WAIT 🔴 | `industry_KR/HANDOVER.md` |
| OXY (Occidental Petroleum) | 3 | CONFIRMED PARTIAL RESOLVED 🔴 🟡 | `industry_US/SECTOR_DEEP_ENRG.md` |
| 009150 삼성전기 | 3 | CONFIRMED FADING GO RESOLVED WAIT | `industry_KR/EVENT_ALPHA.md` |
| BX (Blackstone Inc.) | 3 | CONFIRMED FADING FRESH GO LIVE | `industry_US/2026-08-14/SECTOR_DEEP_FIN.md` |
| GE (GE Aerospace) | 3 | CONFIRMED FRESH GO PARTIAL 🔴 | `industry_US/SECTOR_DEEP_DEFENSE.md` |
| PH (Parker Hannifin) | 3 | CONFIRMED GO LIVE PARTIAL RESOLVED | `industry_US/2026-08-14/SECTOR_DEEP_INDU.md` |
| 082740 한화엔진 | 2 | CONFIRMED ECHO FADING FRESH LIVE | `industry_KR/BET_SHEET.md` |
| 443060 HD현대마린솔루션 | 2 | CONFIRMED ECHO FADING FRESH LIVE | `industry_KR/preflight/PREFLIGHT.md` |
| 000990 DB하이텍 | 2 | CONFIRMED ECHO FADING FRESH LIVE | `industry_KR/preflight/PREFLIGHT.md` |
| 005090 SGC에너지 | 2 | CONFIRMED ECHO FADING FRESH LIVE | `industry_KR/BET_SHEET.md` |
| 055550 신한지주 | 2 | CONFIRMED ECHO FRESH LIVE PARTIAL | `industry_KR/SECTOR_DEEP_FIN.md` |
| 000540 흥국화재 | 2 | FRESH LIVE 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_INS.md` |
| CRM (Salesforce) | 2 | GO LIVE RESOLVED WAIT 🔴 | `industry_KR/HANDOVER.md` |
| UNH (UnitedHealth Group) | 2 | BROKEN FRESH GO REAL 🔴 | `industry_US/MACRO_REPORT.md` |
| HCA (HCA Healthcare) | 2 | BROKEN FRESH GO REAL 🔴 | `industry_US/MACRO_REPORT.md` |
| ELV (Elevance Health) | 2 | BROKEN FRESH GO REAL 🔴 | `industry_US/MACRO_REPORT.md` |
| SPGI (S&P Global) | 2 | CONFIRMED FRESH REAL 🔴 🟡 | `industry_US/SECTOR_DEEP_FIN.md` |
| FITB (Fifth Third Bancorp) | 2 | CONFIRMED FRESH REAL 🔴 🟡 | `industry_US/SECTOR_DEEP_FIN.md` |
| HOOD (Robinhood Markets) | 2 | FRESH GO LIVE REAL 🔴 | `industry_US/SWEEP_READ.md` |
| WFC (Wells Fargo) | 2 | CONFIRMED FRESH REAL 🔴 🟡 | `industry_US/SECTOR_DEEP_FIN.md` |
| PWR (Quanta Services) | 2 | FRESH GO 🔴 🟢 | `industry_US/SECTOR_DEEP_INDU.md` |
| EMR (Emerson Electric) | 2 | CONFIRMED FRESH GO PARTIAL 🔴 | `industry_US/SECTOR_DEEP_INDU.md` |
| DUK (Duke Energy) | 2 | FADING FRESH GO LIVE 🔴 | `industry_US/SECTOR_DEEP_UTIL.md` |
| OKE (Oneok) | 2 | FRESH 🔴 🟡 🟢 | `industry_US/SECTOR_DEEP_UTIL.md` |
| 005380 현대차 | 2 | 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_DISC.md` |
| 000270 기아 | 2 | 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_DISC.md` |
| 103140 풍산 | 2 | FRESH 🔴 🟡 🟢 | `industry_US/SECTOR_DEEP_STPL.md` |
| DAL (Delta Air Lines) | 2 | CONFIRMED PARTIAL RESOLVED 🔴 🟢 | `industry_US/ACTION_TICKETS.md` |
| UAL (United Airlines Holdings) | 2 | CONFIRMED PARTIAL RESOLVED 🔴 🟢 | `industry_US/ACTION_TICKETS.md` |
| REGN (Regeneron Pharmaceuticals) | 2 | FADING GO RESOLVED 🔴 🟢 | `industry_US/ACTION_TICKETS.md` |
| MSTR (MicroStrategy) | 2 | GO REAL RESOLVED WAIT 🔴 | `industry_KR/HANDOVER.md` |
| 006220 제주은행 | 2 | GO REAL RESOLVED WAIT 🔴 | `industry_KR/HANDOVER.md` |
| 373220 LG에너지솔루션 | 2 | GO REAL RESOLVED WAIT 🔴 | `industry_KR/HANDOVER.md` |
| 192820 코스맥스 | 2 | CONFIRMED GO REAL 🔴 🟡 | `industry_US/HANDOVER.md` |
| 001820 삼화콘덴서공업 | 2 | GO REAL RESOLVED WAIT 🔴 | `industry_KR/HANDOVER.md` |
| 028670 팬오션 | 2 | CONFIRMED FADING GO REAL 🔴 | `industry_KR/EVENT_ALPHA.md` |
| BKR (Baker Hughes) | 2 | CONFIRMED ECHO GO RESOLVED 🔴 | `industry_US/SECTOR_DEEP_ENRG.md` |
| DASH (DoorDash) | 2 | RESOLVED WAIT 🔴 🟡 🟢 | `industry_KR/HANDOVER.md` |
| 128940 한미약품 | 2 | 🔴 🟢 | `company_128940/COMPANY_ANALYSIS.md` |
| MDT (Medtronic) | 2 | BROKEN FADING FRESH REAL 🔴 | `industry_US/SECTOR_DEEP_HLTH.md` |
| 035420 NAVER | 2 | GO WAIT 🔴 🟡 🟢 | `preflight/industry_KR/PREFLIGHT.md` |
| CBRE (CBRE Group) | 2 | FRESH GO 🔴 🟡 🟢 | `industry_US/SECTOR_DEEP_RE.md` |
| DIS (Walt Disney Company (The)) | 2 | CONFIRMED FADING FRESH GO LIVE | `industry_US/SECTOR_DEEP_COMM.md` |
| AEP (American Electric Power) | 2 | FADING GO LIVE 🔴 🟡 | `industry_US/2026-08-14/HANDOVER.md` |
| 051900 LG생활건강 | 2 | CONFIRMED FADING 🔴 🟡 🟢 | `theme_beauty_device/KPMG_BEAUTY_DEVICE_20260819.md` |
| 090430 아모레퍼시픽 | 2 | CONFIRMED FADING 🔴 🟡 🟢 | `theme_beauty_device/KPMG_BEAUTY_DEVICE_20260819.md` |
| 002790 아모레퍼시픽홀딩스 | 2 | CONFIRMED FADING 🔴 🟡 🟢 | `theme_beauty_device/KPMG_BEAUTY_DEVICE_20260819.md` |
| ABNB (Airbnb) | 2 | LIVE 🔴 🟡 🟢 | `industry_US/SECTOR_DEEP_DISC.md` |
| HD (Home Depot (The)) | 2 | LIVE 🔴 🟡 🟢 | `industry_US/SECTOR_DEEP_DISC.md` |
| SHW (Sherwin-Williams) | 2 | CONFIRMED FRESH GO PARTIAL 🔴 | `industry_US/SECTOR_DEEP_MATR.md` |
| MLM (Martin Marietta Materials) | 2 | CONFIRMED FRESH GO PARTIAL 🔴 | `industry_US/SECTOR_DEEP_MATR.md` |
| APD (Air Products) | 2 | CONFIRMED FRESH GO PARTIAL 🔴 | `industry_US/SECTOR_DEEP_MATR.md` |
| VMC (Vulcan Materials Company) | 2 | CONFIRMED FRESH GO PARTIAL 🔴 | `industry_US/SECTOR_DEEP_MATR.md` |
| CRH (CRH plc) | 2 | CONFIRMED FRESH GO PARTIAL 🔴 | `industry_US/SECTOR_DEEP_MATR.md` |
| ECL (Ecolab) | 2 | CONFIRMED FRESH GO PARTIAL 🔴 | `industry_US/SECTOR_DEEP_MATR.md` |
| ISRG (Intuitive Surgical) | 2 | BROKEN FADING FRESH GO REAL | `industry_US/2026-08-13/ACTION_TICKETS.md` |
| BMY (Bristol Myers Squibb) | 2 | ECHO FADING FRESH GO LIVE | `industry_US/2026-08-13/ACTION_TICKETS.md` |
| TMO (Thermo Fisher Scientific) | 2 | BROKEN FADING FRESH GO REAL | `industry_US/2026-08-13/ACTION_TICKETS.md` |
| WAT (Waters Corporation) | 2 | BROKEN FADING FRESH GO REAL | `industry_US/2026-08-13/ACTION_TICKETS.md` |
| STX (Seagate Technology) | 2 | ECHO FADING FRESH GO LIVE | `industry_US/2026-08-13/SECTOR_DEEP_IT.md` |
| ADM (Archer Daniels Midland) | 2 | CONFIRMED FADING FRESH GO LIVE | `industry_US/SECTOR_DEEP_STPL.md` |
| AXON (Axon Enterprise) | 2 | CONFIRMED FRESH GO PARTIAL 🔴 | `industry_US/SECTOR_DEEP_DEFENSE.md` |
| BA (Boeing) | 2 | FRESH 🔴 | `industry_US/SECTOR_DEEP_DEFENSE.md` |
| TGT (Target Corporation) | 2 | FRESH LIVE 🔴 🟡 🟢 | `industry_US/SECTOR_DEEP_STPL.md` |
| 006360 GS건설 | 2 | CONFIRMED ECHO FRESH LIVE PARTIAL | `industry_KR/ALPHA_TAGS.md` |
| 000150 두산 | 1 | CONFIRMED ECHO FADING FRESH LIVE | `industry_KR/BET_SHEET.md` |
| 175330 JB금융지주 | 1 | FRESH LIVE 🟢 | `industry_KR/SECTOR_DEEP_FIN.md` |
| 006800 미래에셋증권 | 1 | FRESH LIVE 🟢 | `industry_KR/SECTOR_DEEP_FIN.md` |
| 016360 삼성증권 | 1 | FRESH LIVE 🟢 | `industry_KR/SECTOR_DEEP_FIN.md` |
| ADBE (Adobe Inc.) | 1 | GO REAL 🔴 🟢 | `industry_US/MACRO_REPORT.md` |
| HUM (Humana) | 1 | GO REAL 🔴 🟢 | `industry_US/MACRO_REPORT.md` |
| HBAN (Huntington Bancshares) | 1 | FRESH REAL 🔴 🟡 🟢 | `industry_US/SECTOR_DEEP_FIN.md` |
| AON (Aon plc) | 1 | FRESH REAL 🔴 🟡 🟢 | `industry_US/SECTOR_DEEP_FIN.md` |
| HIG (Hartford (The)) | 1 | FRESH REAL 🔴 🟡 🟢 | `industry_US/SECTOR_DEEP_FIN.md` |
| PGR (Progressive Corporation) | 1 | FRESH REAL 🔴 🟡 🟢 | `industry_US/SECTOR_DEEP_FIN.md` |
| COIN (Coinbase) | 1 | FRESH REAL 🔴 🟡 🟢 | `industry_US/SECTOR_DEEP_FIN.md` |
| FIX (Comfort Systems USA) | 1 | FRESH GO 🔴 🟢 | `industry_US/SECTOR_DEEP_INDU.md` |
| EME (Emcor) | 1 | FRESH GO 🔴 🟢 | `industry_US/SECTOR_DEEP_INDU.md` |
| RSG (Republic Services) | 1 | FRESH GO 🔴 🟢 | `industry_US/SECTOR_DEEP_INDU.md` |
| ARM (Arm Holdings) | 1 | GO LIVE 🟡 | `industry_US/SECTOR_DEEP_SEMI.md` |
| PG (Procter & Gamble) | 1 | FRESH 🔴 🟡 🟢 | `industry_US/SECTOR_DEEP_UTIL.md` |
| 064350 현대로템 | 1 | 🟡 🟢 | `industry_KR/SECTOR_DEEP_DISC.md` |
| 012450 한화에어로스페이스 | 1 | 🟡 🟢 | `industry_KR/SECTOR_DEEP_DISC.md` |
| 047810 한국항공우주 | 1 | 🟡 🟢 | `industry_KR/SECTOR_DEEP_DISC.md` |
| 272210 한화시스템 | 1 | 🟡 🟢 | `industry_KR/SECTOR_DEEP_DISC.md` |
| 012330 현대모비스 | 1 | 🟡 🟢 | `industry_KR/SECTOR_DEEP_DISC.md` |
| 329180 HD현대중공업 | 1 | 🟡 🟢 | `industry_KR/SECTOR_DEEP_DISC.md` |
| 010140 삼성중공업 | 1 | 🟡 🟢 | `industry_KR/SECTOR_DEEP_DISC.md` |
| 042660 한화오션 | 1 | 🟡 🟢 | `industry_KR/SECTOR_DEEP_DISC.md` |
| 005850 에스엘 | 1 | 🟡 🟢 | `industry_KR/SECTOR_DEEP_DISC.md` |
| 204320 HL만도 | 1 | 🟡 🟢 | `industry_KR/SECTOR_DEEP_DISC.md` |
| 439260 대한조선 | 1 | 🟡 🟢 | `industry_KR/SECTOR_DEEP_DISC.md` |
| 007660 이수페타시스 | 1 | FADING 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_IT.md` |
| VRTX (Vertex Pharmaceuticals) | 1 | 🟢 | `industry_US/ACTION_TICKETS.md` |
| GILD (Gilead Sciences) | 1 | 🟢 | `industry_US/ACTION_TICKETS.md` |
| 015860 일진홀딩스 | 1 | GO REAL 🔴 🟡 🟢 | `industry_US/HANDOVER.md` |
| 066570 LG전자 | 1 | CONFIRMED FADING 🔴 🟡 🟢 | `industry_KR/EVENT_ALPHA.md` |
| 103590 일진전기 | 1 | RESOLVED WAIT 🔴 🟡 🟢 | `industry_KR/HANDOVER.md` |
| 008930 한미사이언스 | 1 | 🟢 | `industry_KR/SECTOR_DEEP_HLTH.md` |
| 249420 일동제약 | 1 | 🟢 | `industry_KR/SECTOR_DEEP_HLTH.md` |
| 019170 신풍제약 | 1 | 🟢 | `industry_KR/SECTOR_DEEP_HLTH.md` |
| 002210 동성제약 | 1 | 🟢 | `industry_KR/SECTOR_DEEP_HLTH.md` |
| 002720 국제약품 | 1 | 🟢 | `industry_KR/SECTOR_DEEP_HLTH.md` |
| 000230 일동홀딩스 | 1 | 🟢 | `industry_KR/SECTOR_DEEP_HLTH.md` |
| 028260 삼성물산 | 1 | LIVE 🔴 🟡 🟢 | `industry_KR/SWEEP_READ.md` |
| IDXX (Idexx Laboratories) | 1 | FADING REAL 🔴 🟢 | `industry_US/SECTOR_DEEP_HLTH.md` |
| 307950 현대오토에버 | 1 | 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_COMM.md` |
| 018260 삼성에스디에스 | 1 | 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_COMM.md` |
| 064400 LG씨엔에스 | 1 | 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_COMM.md` |
| 181710 NHN | 1 | 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_COMM.md` |
| 035720 카카오 | 1 | 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_COMM.md` |
| 286940 롯데이노베이트 | 1 | 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_COMM.md` |
| 035510 신세계I&C | 1 | 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_COMM.md` |
| 020120 키다리스튜디오 | 1 | 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_COMM.md` |
| 007120 미래아이앤지 | 1 | 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_COMM.md` |
| 259960 크래프톤 | 1 | 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_COMM.md` |
| 036570 엔씨소프트 | 1 | 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_COMM.md` |
| 251270 넷마블 | 1 | 🔴 🟡 🟢 | `industry_KR/SECTOR_DEEP_COMM.md` |
