rank,ticker,name,market_cap_usd,market_cap_h,gics_sector,gics_industry
89,COP,ConocoPhillips,143283558906,143.28B,Energy,Oil & Gas Exploration & Production
90,GLW,Corning Inc.,142714812371,142.71B,Information Technology,Electronic Components
91,ISRG,Intuitive Surgical,135719302700,135.72B,Health Care,Health Care Equipment
92,LMT,Lockheed Martin,135693426043,135.69B,Industrials,Aerospace & Defense
93,PH,Parker Hannifin,135400389939,135.40B,Industrials,Industrial Machinery & Supplies & Components
94,CB,Chubb Limited,135149547664,135.15B,Financials,Property & Casualty Insurance
95,COF,Capital One,133592454517,133.59B,Financials,Consumer Finance
96,PLD,Prologis,133198728899,133.20B,Real Estate,Industrial REITs
97,BMY,Bristol Myers Squibb,132204495029,132.20B,Health Care,Pharmaceuticals
98,PDD,PDD Holdings,130610862393,130.61B,Consumer Discretionary,Broadline Retail
99,SYK,Stryker Corporation,130042769317,130.04B,Health Care,Health Care Equipment
100,NOW,ServiceNow,129108683720,129.11B,Information Technology,Systems Software
101,VRTX,Vertex Pharmaceuticals,125734362425,125.73B,Health Care,Biotechnology
102,LOW,Lowe's,125233921029,125.23B,Consumer Discretionary,Home Improvement Retail
103,PGR,Progressive Corporation,125186784298,125.19B,Financials,Property & Casualty Insurance
104,CVS,CVS Health,122397460410,122.40B,Health Care,Health Care Services
105,SBUX,Starbucks,120361202087,120.36B,Consumer Discretionary,Restaurants
106,SPGI,S&P Global,120334412719,120.33B,Financials,Financial Exchanges & Data
107,NEM,Newmont,119046156314,119.05B,Materials,Gold
108,FTNT,Fortinet,117130047117,117.13B,Information Technology,Systems Software
109,APP,AppLovin,116503821781,116.50B,Communication Services,Advertising
110,MO,Altria,114126994794,114.13B,Consumer Staples,Tobacco
111,HWM,Howmet Aerospace,112414140297,112.41B,Industrials,Aerospace & Defense
112,MDT,Medtronic,111568743448,111.57B,Health Care,Health Care Equipment
113,BX,Blackstone Inc.,109695032724,109.70B,Financials,Asset Management & Custody Banks
114,ADP,Automatic Data Processing,107785328712,107.79B,Industrials,Human Resource & Employment Services
115,ACN,Accenture,107530468140,107.53B,Information Technology,IT Consulting & Other Services
116,BNY,BNY Mellon,106939038234,106.94B,Financials,Asset Management & Custody Banks
117,SO,Southern Company,106627146127,106.63B,Utilities,Electric Utilities
118,ABNB,Airbnb,106625770779,106.63B,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
119,TT,Trane Technologies,106119377961,106.12B,Industrials,Building Products
120,GD,General Dynamics,106071944997,106.07B,Industrials,Aerospace & Defense
121,ADBE,Adobe Inc.,105420971603,105.42B,Information Technology,Application Software
122,VRT,Vertiv,104870775975,104.87B,Industrials,Electrical Components & Equipment
123,EQIX,Equinix,102877072775,102.88B,Real Estate,Data Center REITs
124,MCK,McKesson Corporation,101384649850,101.38B,Health Care,Health Care Distributors
125,PWR,Quanta Services,101009709818,101.01B,Industrials,Construction & Engineering
126,PNC,PNC Financial Services,100771439025,100.77B,Financials,Diversified Banks
127,USB,U.S. Bancorp,99621807317,99.62B,Financials,Diversified Banks
128,FCX,Freeport-McMoRan,97468003845,97.47B,Materials,Copper
129,DUK,Duke Energy,97345817606,97.35B,Utilities,Electric Utilities
130,CEG,Constellation Energy,95624023708,95.62B,Utilities,Electric Utilities
131,CME,CME Group,94806669799,94.81B,Financials,Financial Exchanges & Data
132,MMM,3M,94325626921,94.33B,Industrials,Industrial Conglomerates
133,DASH,DoorDash,94228528426,94.23B,Consumer Discretionary,Specialized Consumer Services
134,CDNS,Cadence Design Systems,93424318630,93.42B,Information Technology,Application Software
135,CSX,CSX Corporation,93123914925,93.12B,Industrials,Rail Transportation
136,MELI,Mercado Libre,92303157462,92.30B,Consumer Discretionary,Broadline Retail
137,MAR,Marriott International,92287797941,92.29B,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
138,KKR,KKR & Co.,92285913947,92.29B,Financials,Asset Management & Custody Banks
139,JCI,Johnson Controls,92199913215,92.20B,Industrials,Building Products
140,MRSH,Marsh McLennan,91457536599,91.46B,Financials,Insurance Brokers
141,WM,Waste Management,91007150165,91.01B,Industrials,Environmental & Facilities Services
142,CMCSA,Comcast,89993425657,89.99B,Communication Services,Cable & Satellite
143,SHW,Sherwin-Williams,89754973836,89.75B,Materials,Specialty Chemicals
144,HCA,HCA Healthcare,89493056868,89.49B,Health Care,Health Care Facilities
145,INTU,Intuit,88967909250,88.97B,Information Technology,Application Software
146,UPS,United Parcel Service,88906675319,88.91B,Industrials,Air Freight & Logistics
147,CMI,Cummins,88691723738,88.69B,Industrials,Construction Machinery & Heavy Transportation Equipment
148,MNST,Monster Beverage,88509959295,88.51B,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
149,EMR,Emerson Electric,88277424935,88.28B,Industrials,Electrical Components & Equipment
150,WMB,Williams Companies,86110991895,86.11B,Energy,Oil & Gas Storage & Transportation
151,VLO,Valero Energy,85891640187,85.89B,Energy,Oil & Gas Refining & Marketing
152,RCL,Royal Caribbean Group,85584666880,85.58B,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
153,ELV,Elevance Health,85489876765,85.49B,Health Care,Managed Health Care
154,ITW,Illinois Tool Works,84488769042,84.49B,Industrials,Industrial Machinery & Supplies & Components
155,ICE,Intercontinental Exchange,84377593109,84.38B,Financials,Financial Exchanges & Data
156,DDOG,Datadog,83998417734,84.00B,Information Technology,Application Software
157,HOOD,Robinhood Markets,83875386071,83.88B,Financials,Investment Banking & Brokerage
158,MPC,Marathon Petroleum,83741947754,83.74B,Energy,Oil & Gas Refining & Marketing
159,MCO,Moody's Corporation,82737215106,82.74B,Financials,Financial Exchanges & Data
160,ROST,Ross Stores,81872952656,81.87B,Consumer Discretionary,Apparel Retail
161,PSX,Phillips 66,81364356442,81.36B,Energy,Oil & Gas Refining & Marketing
162,CTAS,Cintas,81254430582,81.25B,Industrials,Diversified Support Services
163,NOC,Northrop Grumman,81200386828,81.20B,Industrials,Aerospace & Defense
164,REGN,Regeneron Pharmaceuticals,80753772879,80.75B,Health Care,Biotechnology
165,AMT,American Tower,80396743553,80.40B,Real Estate,Telecom Tower REITs
166,TRV,Travelers Companies (The),80157466195,80.16B,Financials,Property & Casualty Insurance
167,ECL,Ecolab,79941311481,79.94B,Materials,Specialty Chemicals
168,MDLZ,Mondelez International,79909648227,79.91B,Consumer Staples,Packaged Foods & Meats
169,SNPS,Synopsys,79653482536,79.65B,Information Technology,Application Software
170,GM,General Motors,79211867616,79.21B,Consumer Discretionary,Automobile Manufacturers
171,HON,Honeywell Technologies,78033801989,78.03B,Industrials,Industrial Conglomerates
172,CVNA,Carvana,77901344572,77.90B,Consumer Discretionary,Automotive Retail
173,MSI,Motorola Solutions,77376618559,77.38B,Information Technology,Communications Equipment
174,ORLY,O’Reilly Automotive,76335987493,76.34B,Consumer Discretionary,Automotive Retail
175,AON,Aon plc,76004540412,76.00B,Financials,Insurance Brokers
176,FDX,FedEx,75367670793,75.37B,Industrials,Air Freight & Logistics
177,NSC,Norfolk Southern,75100052306,75.10B,Industrials,Rail Transportation
178,SLB,Schlumberger,74993755650,74.99B,Energy,Oil & Gas Equipment & Services
179,CI,Cigna,74645292309,74.65B,Health Care,Health Care Services
180,CL,Colgate-Palmolive,74352307084,74.35B,Consumer Staples,Household Products
181,COHR,Coherent Corp.,74172736726,74.17B,Information Technology,Electronic Components
182,APO,Apollo Global Management,73401841481,73.40B,Financials,Asset Management & Custody Banks
183,URI,United Rentals,72378053781,72.38B,Industrials,Trading Companies & Distributors
184,SPG,Simon Property Group,72287465471,72.29B,Real Estate,Retail REITs
185,DLR,Digital Realty,71713012038,71.71B,Real Estate,Data Center REITs
186,HLT,Hilton Worldwide,71480616789,71.48B,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
187,BSX,Boston Scientific,71461509917,71.46B,Health Care,Health Care Equipment
188,EOG,EOG Resources,70675064055,70.68B,Energy,Oil & Gas Exploration & Production
189,HPE,Hewlett Packard Enterprise,70474113004,70.47B,Information Technology,"Technology Hardware, Storage & Peripherals"
190,PCAR,Paccar,70064439215,70.06B,Industrials,Construction Machinery & Heavy Transportation Equipment
191,LITE,Lumentum,69255224670,69.26B,Information Technology,Communications Equipment
192,MPWR,Monolithic Power Systems,68875882139,68.88B,Information Technology,Semiconductors
193,KMI,Kinder Morgan,68696845295,68.70B,Energy,Oil & Gas Storage & Transportation
194,AEP,American Electric Power,68447080894,68.45B,Utilities,Electric Utilities
195,TGT,Target Corporation,67992408080,67.99B,Consumer Staples,Consumer Staples Merchandise Retail
196,TDG,TransDigm Group,67727562256,67.73B,Industrials,Aerospace & Defense
197,APD,Air Products,67571697766,67.57B,Materials,Industrial Gases
198,ALL,Allstate,67513072650,67.51B,Financials,Property & Casualty Insurance
199,WBD,Warner Bros. Discovery,67141122601,67.14B,Communication Services,Broadcasting
200,CRH,CRH plc,66847789898,66.85B,Materials,Construction Materials
201,RSG,Republic Services,65701055812,65.70B,Industrials,Environmental & Facilities Services
202,TFC,Truist Financial,63952129077,63.95B,Financials,Diversified Banks
203,AJG,Arthur J. Gallagher & Co.,63603327668,63.60B,Financials,Insurance Brokers
204,TEL,TE Connectivity,62630397143,62.63B,Information Technology,Electronic Manufacturing Services
205,AFL,Aflac,62586245076,62.59B,Financials,Life & Health Insurance
206,MET,MetLife,62130577019,62.13B,Financials,Life & Health Insurance
207,NUE,Nucor,62089016310,62.09B,Materials,Steel
208,NKE,"Nike, Inc.",61861897046,61.86B,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
209,PSA,Public Storage,61327302503,61.33B,Real Estate,Self-Storage REITs
210,COR,Cencora,61152471665,61.15B,Health Care,Health Care Distributors
211,BKR,Baker Hughes,61099088312,61.10B,Energy,Oil & Gas Equipment & Services
212,NXPI,NXP Semiconductors,60446275842,60.45B,Information Technology,Semiconductors
213,GWW,W. W. Grainger,60173810751,60.17B,Industrials,Industrial Machinery & Supplies & Components
214,DAL,Delta Air Lines,60067285151,60.07B,Industrials,Passenger Airlines
215,GRMN,Garmin,59955927742,59.96B,Consumer Discretionary,Consumer Electronics
216,FIX,Comfort Systems USA,59638551925,59.64B,Industrials,Construction & Engineering
217,FAST,Fastenal,59486274359,59.49B,Industrials,Trading Companies & Distributors
218,TER,Teradyne,59301609500,59.30B,Information Technology,Semiconductor Materials & Equipment
219,D,Dominion Energy,59271253166,59.27B,Utilities,Multi-Utilities
220,O,Realty Income,59147085431,59.15B,Real Estate,Retail REITs
221,CIEN,Ciena,58375011577,58.38B,Information Technology,Communications Equipment
222,KEYS,Keysight Technologies,58270193835,58.27B,Information Technology,Electronic Equipment & Instruments
223,AME,Ametek,58154407992,58.15B,Industrials,Electrical Components & Equipment
224,OXY,Occidental Petroleum,55889725260,55.89B,Energy,Oil & Gas Exploration & Production
225,F,Ford Motor Company,55746585599,55.75B,Consumer Discretionary,Automobile Manufacturers
226,CAH,Cardinal Health,55366262692,55.37B,Health Care,Health Care Distributors
227,TRGP,Targa Resources,55080895317,55.08B,Energy,Oil & Gas Storage & Transportation
228,SRE,Sempra,54849159394,54.85B,Utilities,Multi-Utilities
229,OKE,Oneok,54476545467,54.48B,Energy,Oil & Gas Storage & Transportation
230,HONA,Honeywell Aerospace,53407515531,53.41B,Industrials,Aerospace & Defense
231,LHX,L3Harris,53382146469,53.38B,Industrials,Aerospace & Defense
232,EA,Electronic Arts,52925639106,52.93B,Communication Services,Interactive Home Entertainment
233,LNG,LNG,52901662255,52.90B,Energy,Oil & Gas Midstream
234,NDAQ,"Nasdaq, Inc.",52873667570,52.87B,Financials,Financial Exchanges & Data
235,CARR,Carrier Global,52765048659,52.77B,Industrials,Building Products
236,FANG,Diamondback Energy,52654919807,52.65B,Energy,Oil & Gas Exploration & Production
237,ADSK,Autodesk,52592059505,52.59B,Information Technology,Application Software
238,FITB,Fifth Third Bancorp,51774496617,51.77B,Financials,Regional Banks
239,EW,Edwards Lifesciences,51714608703,51.71B,Health Care,Health Care Equipment
240,CTVA,Corteva,51260669901,51.26B,Materials,Fertilizers & Agricultural Chemicals
241,AZO,AutoZone,51054120075,51.05B,Consumer Discretionary,Automotive Retail
242,STT,State Street Corporation,50731919948,50.73B,Financials,Asset Management & Custody Banks
243,PYPL,PayPal,50532073566,50.53B,Financials,Transaction & Payment Processing Services
244,ETR,Entergy,50013564098,50.01B,Utilities,Electric Utilities
245,EBAY,eBay Inc.,49831101493,49.83B,Consumer Discretionary,Broadline Retail
246,FERG,Ferguson Enterprises,49781901029,49.78B,Industrials,Building Products
247,WAB,Wabtec,49289875017,49.29B,Industrials,Construction Machinery & Heavy Transportation Equipment
248,ROK,Rockwell Automation,48976909011,48.98B,Industrials,Electrical Components & Equipment
249,XEL,Xcel Energy,48765200078,48.77B,Utilities,Multi-Utilities
250,AMP,Ameriprise Financial,48758168498,48.76B,Financials,Asset Management & Custody Banks
251,BDX,Becton Dickinson,48174329614,48.17B,Health Care,Health Care Equipment
252,FER,Ferrovial,47947203869,47.95B,Industrials,Construction & Engineering
253,VTR,Ventas,47888672389,47.89B,Real Estate,Health Care REITs
254,CCEP,Coca-Cola Europacific Partners,47879155720,47.88B,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
255,XYZ,"Block, Inc.",47462805000,47.46B,Financials,Transaction & Payment Processing Services
256,VST,Vistra Corp.,47404481941,47.40B,Utilities,Electric Utilities
257,DVN,Devon Energy,47277999496,47.28B,Energy,Oil & Gas Exploration & Production
258,EXC,Exelon,46989884063,46.99B,Utilities,Electric Utilities
259,AXON,Axon Enterprise,46387377132,46.39B,Industrials,Aerospace & Defense
260,HUM,Humana,46230918580,46.23B,Health Care,Managed Health Care
261,IDXX,Idexx Laboratories,46218515977,46.22B,Health Care,Health Care Equipment
262,TTWO,Take-Two Interactive,46090679199,46.09B,Communication Services,Interactive Home Entertainment
263,MCHP,Microchip Technology,45987407366,45.99B,Information Technology,Semiconductors
264,ODFL,Old Dominion,44863678862,44.86B,Industrials,Cargo Ground Transportation
265,FLEX,Flex Ltd.,44827050816,44.83B,Information Technology,Electronic Manufacturing Services
266,WDAY,"Workday, Inc.",44366315616,44.37B,Information Technology,Application Software
267,TRI,Thomson Reuters,44115259570,44.12B,Industrials,Research & Consulting Services
268,CBRE,CBRE Group,42909265536,42.91B,Real Estate,Real Estate Services
269,PAYX,Paychex,42696170840,42.70B,Industrials,Human Resource & Employment Services
270,DHI,D. R. Horton,42257267930,42.26B,Consumer Discretionary,Homebuilding
271,LYV,Live Nation Entertainment,42086465026,42.09B,Communication Services,Movies & Entertainment
272,UAL,United Airlines Holdings,42051253167,42.05B,Industrials,Passenger Airlines
273,PRU,Prudential Financial,41841599578,41.84B,Financials,Life & Health Insurance
274,CMG,Chipotle Mexican Grill,41572409180,41.57B,Consumer Discretionary,Restaurants
275,AIG,American International Group,41335865359,41.34B,Financials,Multi-line Insurance
276,A,Agilent Technologies,41226591210,41.23B,Health Care,Life Sciences Tools & Services
277,YUM,Yum! Brands,41142566075,41.14B,Consumer Discretionary,Restaurants
278,MSCI,MSCI Inc.,40942457757,40.94B,Financials,Financial Exchanges & Data
279,KDP,Keurig Dr Pepper,40830390036,40.83B,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
280,COIN,Coinbase,40525352983,40.53B,Financials,Financial Exchanges & Data
281,SYY,Sysco,40336443010,40.34B,Consumer Staples,Food Distributors
282,WAT,Waters Corporation,39947895527,39.95B,Health Care,Life Sciences Tools & Services
283,ED,Consolidated Edison,39934097032,39.93B,Utilities,Multi-Utilities
284,IBKR,Interactive Brokers,39793856588,39.79B,Financials,Investment Banking & Brokerage
285,ROP,Roper Technologies,39782876566,39.78B,Information Technology,Electronic Equipment & Instruments
286,CCL,Carnival Corporation,39706127646,39.71B,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
287,IQV,IQVIA,39290019497,39.29B,Health Care,Life Sciences Tools & Services
288,HIG,Hartford (The),39277463554,39.28B,Financials,Property & Casualty Insurance
289,PCG,PG&E Corporation,38453324162,38.45B,Utilities,Multi-Utilities
290,MSTR,MicroStrategy,38426418178,38.43B,Information Technology,Application Software
291,PEG,Public Service Enterprise Group,37710461295,37.71B,Utilities,Electric Utilities
292,STLD,Steel Dynamics,37616458445,37.62B,Materials,Steel
293,VEEV,Veeva Systems,37438305475,37.44B,Health Care,Health Care Technology
294,EXPE,Expedia Group,37288458003,37.29B,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
295,NTAP,NetApp,37190318741,37.19B,Information Technology,"Technology Hardware, Storage & Peripherals"
296,KVUE,Kenvue,36921765806,36.92B,Consumer Staples,Personal Care Products
297,ADM,Archer Daniels Midland,36913282696,36.91B,Consumer Staples,Agricultural Products & Services
298,VMC,Vulcan Materials Company,36889771522,36.89B,Materials,Construction Materials
299,HSY,Hershey Company (The),36638794780,36.64B,Consumer Staples,Packaged Foods & Meats
300,TWLO,Twilio,36619996755,36.62B,Information Technology,Systems Software
301,KMB,Kimberly-Clark,36477268989,36.48B,Consumer Staples,Household Products
302,MTB,M&T Bank,36169052377,36.17B,Financials,Regional Banks
303,IRM,Iron Mountain,36066696128,36.07B,Real Estate,Other Specialized REITs
304,EME,Emcor,36033379203,36.03B,Industrials,Construction & Engineering
305,JBL,Jabil,35755450636,35.76B,Information Technology,Electronic Manufacturing Services
306,HBAN,Huntington Bancshares,35458278654,35.46B,Financials,Regional Banks
307,WEC,WEC Energy Group,35071168197,35.07B,Utilities,Electric Utilities
308,KR,Kroger,34755480027,34.76B,Consumer Staples,Food Retail
309,RJF,Raymond James Financial,33963383224,33.96B,Financials,Investment Banking & Brokerage
310,NTRS,Northern Trust,33938273631,33.94B,Financials,Asset Management & Custody Banks
311,IR,Ingersoll Rand,33744310813,33.74B,Industrials,Industrial Machinery & Supplies & Components
312,ACGL,Arch Capital Group,33604245473,33.60B,Financials,Property & Casualty Insurance
313,MLM,Martin Marietta Materials,32950317740,32.95B,Materials,Construction Materials
314,TPR,"Tapestry, Inc.",32803979888,32.80B,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
315,CNC,Centene Corporation,32490049491,32.49B,Health Care,Managed Health Care
316,GEHC,GE HealthCare,32417520789,32.42B,Health Care,Health Care Equipment
317,EQT,EQT Corporation,32332921180,32.33B,Energy,Oil & Gas Exploration & Production
318,CCI,Crown Castle,32160175075,32.16B,Real Estate,Telecom Tower REITs
319,TDY,Teledyne Technologies,32045676179,32.05B,Information Technology,Electronic Equipment & Instruments
320,WTW,Willis Towers Watson,32024101996,32.02B,Financials,Insurance Brokers
321,DXCM,Dexcom,31981324833,31.98B,Health Care,Health Care Equipment
322,EL,Estée Lauder Companies (The),31964580188,31.96B,Consumer Staples,Personal Care Products
323,ON,ON Semiconductor,31600431680,31.60B,Information Technology,Semiconductors
324,EXR,Extra Space Storage,31593248284,31.59B,Real Estate,Self-Storage REITs
325,ATI,ATI Inc.,31025059564,31.03B,Industrials,Aerospace & Defense
326,ARES,Ares Management,30862185110,30.86B,Financials,Asset Management & Custody Banks
327,CASY,Casey's,30860248482,30.86B,Consumer Staples,Food Retail
328,RMD,ResMed,30743250379,30.74B,Health Care,Health Care Equipment
329,BIIB,Biogen,30723966704,30.72B,Health Care,Biotechnology
330,CFG,Citizens Financial Group,30606916412,30.61B,Financials,Regional Banks
331,AEE,Ameren,30131618425,30.13B,Utilities,Multi-Utilities
332,KHC,Kraft Heinz,30025057190,30.03B,Consumer Staples,Packaged Foods & Meats
333,ZTS,Zoetis,30024828434,30.02B,Health Care,Pharmaceuticals
334,P,Everpure,29933065141,29.93B,Information Technology,"Technology Hardware, Storage & Peripherals"
335,CBOE,Cboe Global Markets,29927840022,29.93B,Financials,Financial Exchanges & Data
336,WSM,"Williams-Sonoma, Inc.",29646241573,29.65B,Consumer Discretionary,Homefurnishing Retail
337,LVS,Las Vegas Sands,29645283488,29.65B,Consumer Discretionary,Casinos & Gaming
338,VICI,Vici Properties,29442813755,29.44B,Real Estate,Hotel & Resort REITs
339,ALNY,Alnylam Pharmaceuticals,29330958257,29.33B,Health Care,Biotechnology
340,DTE,DTE Energy,29105277194,29.11B,Utilities,Multi-Utilities
341,Q,Qnity Electronics,28870778934,28.87B,Information Technology,Semiconductor Materials & Equipment
342,ATO,Atmos Energy,28760162247,28.76B,Utilities,Gas Utilities
343,MTD,Mettler Toledo,28641458845,28.64B,Health Care,Life Sciences Tools & Services
344,DOV,Dover Corporation,28435036561,28.44B,Industrials,Industrial Machinery & Supplies & Components
345,ILMN,"Illumina, Inc.",28381961013,28.38B,Health Care,Life Sciences Tools & Services
