rank,ticker,name,market_cap_usd,market_cap_h,gics_sector,gics_industry
169,TDG,TransDigm Group,74297140912,74.30B,Industrials,Aerospace & Defense
170,NOC,Northrop Grumman,74070457734,74.07B,Industrials,Aerospace & Defense
171,CI,Cigna,73875961558,73.88B,Health Care,Health Care Services
172,INTU,Intuit,73034379000,73.03B,Information Technology,Application Software
173,ORLY,O’Reilly Automotive,71965614425,71.97B,Consumer Discretionary,Automotive Retail
174,SLB,Schlumberger,71897323145,71.90B,Energy,Oil & Gas Equipment & Services
175,CL,Colgate-Palmolive,71600942144,71.60B,Consumer Staples,Household Products
176,GM,General Motors,71493034137,71.49B,Consumer Discretionary,Automobile Manufacturers
177,MPC,Marathon Petroleum,70914329076,70.91B,Energy,Oil & Gas Refining & Marketing
178,KMI,Kinder Morgan,70282246003,70.28B,Energy,Oil & Gas Storage & Transportation
179,VLO,Valero Energy,70165217292,70.17B,Energy,Oil & Gas Refining & Marketing
180,AEP,American Electric Power,69476772864,69.48B,Utilities,Electric Utilities
181,EOG,EOG Resources,69231054053,69.23B,Energy,Oil & Gas Exploration & Production
182,FIX,Comfort Systems USA,69221289718,69.22B,Industrials,Construction & Engineering
183,TER,Teradyne,68552945685,68.55B,Information Technology,Semiconductor Materials & Equipment
184,SPG,Simon Property Group,68532187696,68.53B,Real Estate,Retail REITs
185,CTAS,Cintas,68363388561,68.36B,Industrials,Diversified Support Services
186,AON,Aon plc,67861937689,67.86B,Financials,Insurance Brokers
187,URI,United Rentals,67458442713,67.46B,Industrials,Trading Companies & Distributors
188,NSC,Norfolk Southern,67396164804,67.40B,Industrials,Rail Transportation
189,BSX,Boston Scientific,67317027417,67.32B,Health Care,Health Care Equipment
190,NKE,"Nike, Inc.",66936095021,66.94B,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
191,PSX,Phillips 66,66611343978,66.61B,Energy,Oil & Gas Refining & Marketing
192,LITE,Lumentum,66130000000,66.13B,Information Technology,Communications Equipment
193,DLR,Digital Realty,66117049925,66.12B,Real Estate,Data Center REITs
194,WBD,Warner Bros. Discovery,65686983505,65.69B,Communication Services,Broadcasting
195,MSI,Motorola Solutions,65596476367,65.60B,Information Technology,Communications Equipment
196,TRV,Travelers Companies (The),65454162433,65.45B,Financials,Property & Casualty Insurance
197,GWW,W. W. Grainger,64465266427,64.47B,Industrials,Industrial Machinery & Supplies & Components
198,REGN,Regeneron Pharmaceuticals,63945519434,63.95B,Health Care,Biotechnology
199,TEL,TE Connectivity,63528201516,63.53B,Information Technology,Electronic Manufacturing Services
200,RSG,Republic Services,63052678740,63.05B,Industrials,Environmental & Facilities Services
201,HPE,Hewlett Packard Enterprise,62780488728,62.78B,Information Technology,"Technology Hardware, Storage & Peripherals"
202,PCAR,Paccar,62601745333,62.60B,Industrials,Construction Machinery & Heavy Transportation Equipment
203,APD,Air Products,62397353121,62.40B,Materials,Industrial Gases
204,KEYS,Keysight Technologies,62149520775,62.15B,Information Technology,Electronic Equipment & Instruments
205,CIEN,Ciena,60615792431,60.62B,Information Technology,Communications Equipment
206,TFC,Truist Financial,60213347642,60.21B,Financials,Diversified Banks
207,D,Dominion Energy,60167452251,60.17B,Utilities,Multi-Utilities
208,CARR,Carrier Global,59643978147,59.64B,Industrials,Building Products
209,TGT,Target Corporation,59380948477,59.38B,Consumer Staples,Consumer Staples Merchandise Retail
210,SRE,Sempra,59284725792,59.28B,Utilities,Multi-Utilities
211,AFL,Aflac,58772487486,58.77B,Financials,Life & Health Insurance
212,BKR,Baker Hughes,57946732440,57.95B,Energy,Oil & Gas Equipment & Services
213,ALL,Allstate,56933786616,56.93B,Financials,Property & Casualty Insurance
214,O,Realty Income,56173351572,56.17B,Real Estate,Retail REITs
215,F,Ford Motor Company,56024780049,56.02B,Consumer Discretionary,Automobile Manufacturers
216,PSA,Public Storage,55855399309,55.86B,Real Estate,Self-Storage REITs
217,NUE,Nucor,55530076255,55.53B,Materials,Steel
218,TRGP,Targa Resources,55502617555,55.50B,Energy,Oil & Gas Storage & Transportation
219,DAL,Delta Air Lines,55305783741,55.31B,Industrials,Passenger Airlines
220,VST,Vistra Corp.,55213629135,55.21B,Utilities,Electric Utilities
221,MET,MetLife,55065320724,55.07B,Financials,Life & Health Insurance
222,AJG,Arthur J. Gallagher & Co.,55001003892,55.00B,Financials,Insurance Brokers
223,LHX,L3Harris,54923478818,54.92B,Industrials,Aerospace & Defense
224,AME,Ametek,54417376315,54.42B,Industrials,Electrical Components & Equipment
225,MCHP,Microchip Technology,54083248045,54.08B,Information Technology,Semiconductors
226,OKE,Oneok,53571692636,53.57B,Energy,Oil & Gas Storage & Transportation
227,COR,Cencora,52887530327,52.89B,Health Care,Health Care Distributors
228,ROK,Rockwell Automation,52720487142,52.72B,Industrials,Electrical Components & Equipment
229,FAST,Fastenal,52683328248,52.68B,Industrials,Trading Companies & Distributors
230,CTVA,Corteva,52562561350,52.56B,Materials,Fertilizers & Agricultural Chemicals
231,CAH,Cardinal Health,51939833463,51.94B,Health Care,Health Care Distributors
232,FANG,Diamondback Energy,51620989999,51.62B,Energy,Oil & Gas Exploration & Production
233,OXY,Occidental Petroleum,51541969902,51.54B,Energy,Oil & Gas Exploration & Production
234,ETR,Entergy,50875807849,50.88B,Utilities,Electric Utilities
235,EA,Electronic Arts,50689410960,50.69B,Communication Services,Interactive Home Entertainment
236,EW,Edwards Lifesciences,50301888351,50.30B,Health Care,Health Care Equipment
237,AZO,AutoZone,50028723571,50.03B,Consumer Discretionary,Automotive Retail
238,FER,Ferrovial,49546727659,49.55B,Industrials,Construction & Engineering
239,DVN,Devon Energy,48581337634,48.58B,Energy,Oil & Gas Exploration & Production
240,XEL,Xcel Energy,48324708925,48.32B,Utilities,Multi-Utilities
241,EBAY,eBay Inc.,48058559051,48.06B,Consumer Discretionary,Broadline Retail
242,FITB,Fifth Third Bancorp,47798872562,47.80B,Financials,Regional Banks
243,CVNA,Carvana,47676153156,47.68B,Consumer Discretionary,Automotive Retail
244,ON,ON Semiconductor,47286245157,47.29B,Information Technology,Semiconductors
245,EXC,Exelon,46873166390,46.87B,Utilities,Electric Utilities
246,STT,State Street Corporation,46582658648,46.58B,Financials,Asset Management & Custody Banks
247,NDAQ,"Nasdaq, Inc.",46510074019,46.51B,Financials,Financial Exchanges & Data
248,WAB,Wabtec,46462745376,46.46B,Industrials,Construction Machinery & Heavy Transportation Equipment
249,ODFL,Old Dominion,45969307878,45.97B,Industrials,Cargo Ground Transportation
250,GRMN,Garmin,45166922856,45.17B,Consumer Discretionary,Consumer Electronics
251,DHI,D. R. Horton,44751698035,44.75B,Consumer Discretionary,Homebuilding
252,XYZ,"Block, Inc.",44507634453,44.51B,Financials,Transaction & Payment Processing Services
253,TTWO,Take-Two Interactive,44426318895,44.43B,Communication Services,Interactive Home Entertainment
254,IDXX,Idexx Laboratories,44339345902,44.34B,Health Care,Health Care Equipment
255,HUM,Humana,43300179242,43.30B,Health Care,Managed Health Care
256,COIN,Coinbase,43012603209,43.01B,Financials,Financial Exchanges & Data
257,CCEP,Coca-Cola Europacific Partners,42918379494,42.92B,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
258,IBKR,Interactive Brokers,42766537344,42.77B,Financials,Investment Banking & Brokerage
259,CCL,Carnival Corporation,42759259904,42.76B,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
260,MSCI,MSCI Inc.,42268549372,42.27B,Financials,Financial Exchanges & Data
261,AMP,Ameriprise Financial,42020593315,42.02B,Financials,Asset Management & Custody Banks
262,YUM,Yum! Brands,41891668006,41.89B,Consumer Discretionary,Restaurants
263,KDP,Keurig Dr Pepper,41850809639,41.85B,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
264,CMG,Chipotle Mexican Grill,41676029813,41.68B,Consumer Discretionary,Restaurants
265,ADSK,Autodesk,40924174095,40.92B,Information Technology,Application Software
266,MSTR,MicroStrategy,39954190964,39.95B,Information Technology,Application Software
267,LYV,Live Nation Entertainment,39849740979,39.85B,Communication Services,Movies & Entertainment
268,PEG,Public Service Enterprise Group,39810896501,39.81B,Utilities,Electric Utilities
269,BDX,Becton Dickinson,39672309502,39.67B,Health Care,Health Care Equipment
270,VTR,Ventas,39671448654,39.67B,Real Estate,Health Care REITs
271,VMC,Vulcan Materials Company,39294968898,39.29B,Materials,Construction Materials
272,AIG,American International Group,39245862698,39.25B,Financials,Multi-line Insurance
273,JBL,Jabil,39234315584,39.23B,Information Technology,Electronic Manufacturing Services
274,ED,Consolidated Edison,39196819648,39.20B,Utilities,Multi-Utilities
275,CBRE,CBRE Group,38520021861,38.52B,Real Estate,Real Estate Services
276,UAL,United Airlines Holdings,38403090117,38.40B,Industrials,Passenger Airlines
277,IRM,Iron Mountain,38032580517,38.03B,Real Estate,Other Specialized REITs
278,SYY,Sysco,37632969790,37.63B,Consumer Staples,Food Distributors
279,PYPL,PayPal,37498303026,37.50B,Financials,Transaction & Payment Processing Services
280,EME,Emcor,37255501422,37.26B,Industrials,Construction & Engineering
281,ALNY,Alnylam Pharmaceuticals,37128510936,37.13B,Health Care,Biotechnology
282,PRU,Prudential Financial,37000543224,37.00B,Financials,Life & Health Insurance
283,MLM,Martin Marietta Materials,36575158314,36.58B,Materials,Construction Materials
284,WEC,WEC Energy Group,36536648704,36.54B,Utilities,Electric Utilities
285,PCG,PG&E Corporation,36292662509,36.29B,Utilities,Multi-Utilities
286,ADM,Archer Daniels Midland,36194934442,36.19B,Consumer Staples,Agricultural Products & Services
287,STLD,Steel Dynamics,36040216627,36.04B,Materials,Steel
288,A,Agilent Technologies,35885802115,35.89B,Health Care,Life Sciences Tools & Services
289,CCI,Crown Castle,35810886537,35.81B,Real Estate,Telecom Tower REITs
290,Q,Qnity Electronics,35374138304,35.37B,Information Technology,Semiconductor Materials & Equipment
291,PAYX,Paychex,35198495384,35.20B,Industrials,Human Resource & Employment Services
292,HIG,Hartford (The),35157277665,35.16B,Financials,Property & Casualty Insurance
293,HSY,Hershey Company (The),35016852298,35.02B,Consumer Staples,Packaged Foods & Meats
294,WAT,Waters Corporation,34899180540,34.90B,Health Care,Life Sciences Tools & Services
295,KVUE,Kenvue,34790558675,34.79B,Consumer Staples,Personal Care Products
296,KR,Kroger,34701930374,34.70B,Consumer Staples,Food Retail
297,TRI,Thomson Reuters,34303222610,34.30B,Industrials,Research & Consulting Services
298,HBAN,Huntington Bancshares,34177422934,34.18B,Financials,Regional Banks
299,AXON,Axon Enterprise,34126918909,34.13B,Industrials,Aerospace & Defense
300,KMB,Kimberly-Clark,34042329749,34.04B,Consumer Staples,Household Products
